start_id,loglik,converged,n_iterations,floor_hit,reached_best,weight_1,mu_1,sigma_1,weight_2,mu_2,sigma_2,weight_3,mu_3,sigma_3
0,-20963.81558907049,True,13,False,True,0.3643136376785616,2.0241760100715256,0.8118071901213127,0.5347762655125148,5.004521233131035,1.1819233670457538,0.1009100968089236,8.494969084089167,0.3922863350521996
1,-20963.815590217626,True,27,False,True,0.364319756132916,2.0241806272485876,0.8118103958168772,0.5347688966106153,5.004520801093269,1.181914909843199,0.1009113472564687,8.494972165214746,0.39227431686192177
2,-20963.81559068123,True,32,False,True,0.3643179961019697,2.0241866013175898,0.8118211723797742,0.534772627428954,5.004524468894023,1.1819057953655279,0.10090937646907623,8.494952769392658,0.3922985450064646
3,-20963.81559006098,True,43,False,True,0.36430518656316335,2.0241527756139712,0.8118001005504651,0.5347861826079224,5.004505727969123,1.1819526594508556,0.10090863082891414,8.494973905401482,0.3922884433385715
4,-20963.815589113066,True,32,False,True,0.36431429693968853,2.0241763376090938,0.8118105505260679,0.5347749068217895,5.004524102425187,1.18191884684908,0.10091079623852207,8.49497256064574,0.39228694814547055
5,-20963.815601990365,True,62,False,True,0.36430516594014806,2.024136443576631,0.8118403119985946,0.5347827273731068,5.004461731394299,1.1819816082380878,0.10091210668674504,8.494983131042382,0.3922894338211127
6,-20963.815589457925,True,66,False,True,0.3643152420411471,2.0241745718404904,0.8118088768640505,0.5347758696366951,5.00451781851032,1.181936600473031,0.10090888832215783,8.494976729147814,0.3922818410347917
7,-20963.815589430138,True,48,False,True,0.3643114652652437,2.0241777448770204,0.8118110601302452,0.5347768799613344,5.004517926308411,1.1819289055595916,0.10091165477342204,8.494967457144467,0.39229162763628883
8,-20963.815589033075,True,49,False,True,0.36431440349171984,2.0241770704999507,0.8118095179751993,0.534775018534563,5.004522806192984,1.1819225410237717,0.10091057797371701,8.494969313572502,0.39228524423381694
9,-20963.815589951322,True,57,False,True,0.3643208126364122,2.0241896600982305,0.8118198115715227,0.5347695572145917,5.004557951517199,1.1819018880559877,0.10090963014899602,8.49497365056975,0.3922792266714466
10,-20963.815590834027,True,50,False,True,0.36431870728801174,2.024191078760756,0.8118038331032271,0.5347703589392961,5.004540639133678,1.1818843964355659,0.10091093377269211,8.494958775379295,0.39229046636051174
11,-20963.815589909707,True,59,False,True,0.3643238063851571,2.0241943156186992,0.8118222127486366,0.5347632039269574,5.004542352130428,1.1819016011933443,0.1009129896878855,8.49497045028889,0.39228263303423083
12,-20963.81559327489,True,32,False,True,0.3643205821941784,2.024180410739361,0.8118185038027438,0.5347727537061281,5.004549670651485,1.181912081237407,0.10090666409969362,8.494964592288245,0.3923087122621353
13,-20963.815589104648,True,27,False,True,0.364318324335023,2.0241860103873193,0.8118147074058968,0.5347706993342711,5.004532165254646,1.181912328752054,0.10091097633070598,8.494968324816263,0.3922864495380631
14,-20963.81561264737,True,42,False,True,0.364318294774147,2.02408356804381,0.8117845319466725,0.5347852418435041,5.004480581157005,1.1819870523196776,0.100896463382349,8.495007982196622,0.39226821983979426
15,-20963.81558954637,True,25,False,True,0.3643129789460297,2.02418149573654,0.8118125976429414,0.534776512822874,5.004535294040156,1.1819306279855448,0.10091050823109637,8.494972155199216,0.3922788836610208
16,-20963.815589071957,True,43,False,True,0.3643155263367088,2.0241775880886665,0.8118093445399888,0.5347741946859452,5.004525281437811,1.181918488917425,0.10091027897734599,8.494969730333429,0.39228374193008714
17,-20963.81558907208,True,52,False,True,0.3643147973865051,2.0241771377840236,0.8118110377559344,0.5347744193649946,5.004524022820795,1.1819230719756437,0.10091078324850039,8.494966718341791,0.3922869360117236
18,-20963.81558903483,True,57,False,True,0.36431447503577274,2.0241776504165454,0.8118099214384659,0.5347749225941439,5.0045239802015935,1.1819216344212986,0.10091060237008334,8.494969127629984,0.392284866083965
19,-20963.815589156224,True,31,False,True,0.36431153012744383,2.0241729064163145,0.8118051220684692,0.5347781430724349,5.004510118330553,1.1819303251780864,0.1009103268001213,8.494968428009443,0.39228408611227256
20,-20963.815589072303,True,43,False,True,0.364315202665228,2.024179581388887,0.8118127866758805,0.5347745196779864,5.004523800447616,1.1819205405562938,0.10091027765678567,8.494967312439124,0.392285178702606
21,-20963.8155890924,True,27,False,True,0.3643147327215938,2.0241744631467005,0.8118102806314843,0.5347746767743594,5.0045193377038535,1.181924864341941,0.10091059050404678,8.494968268711443,0.39228723728020976
22,-20963.815589329824,True,30,False,True,0.3643143515686307,2.0241781054194083,0.8118125995618876,0.5347754440338075,5.004529931787747,1.1819215987171834,0.10091020439756185,8.49497217412499,0.3922909696351127
23,-21600.187428642406,True,63,False,False,0.22986650825066335,1.8831663671575098,0.7022502555964489,0.015587685925649148,2.087074805676376,0.2555311098032003,0.7545458058236875,5.043475665853878,1.987428677002103
24,-21602.345361375417,True,29,False,False,0.24601521961605743,1.9033435996015349,0.6846181170177458,0.7337239036437202,5.03979432621966,1.9888195895623795,0.020260876740222405,5.173364470084367,2.0251733389256605
