restaurant_id,product_key,date,log_price,fitted,residual
1,agua,2022-10-12,0.4054651081081644,0.4054651081081634,9.992007221626409e-16
1,agua,2022-11-04,0.4054651081081644,0.40546510810816355,8.326672684688674e-16
1,agua,2022-11-13,0.4054651081081644,0.40546510810816494,-5.551115123125783e-16
1,agua,2022-11-17,0.4054651081081644,0.4054651081081663,-1.942890293094024e-15
1,agua,2022-11-22,0.4054651081081644,0.40546510810815856,5.828670879282072e-15
1,agua,2022-11-27,0.4054651081081644,0.40546510810816494,-5.551115123125783e-16
1,agua,2022-11-22,0.4054651081081644,0.40546510810815856,5.828670879282072e-15
1,"amstel 0,33l",2022-10-14,0.9162907318741551,0.916290731874158,-2.886579864025407e-15
1,"amstel 0,33l",2022-11-05,0.9162907318741551,0.9162907318741549,2.220446049250313e-16
1,"amstel 0,33l",2022-11-10,0.9162907318741551,0.9162907318741571,-1.9984014443252818e-15
1,"amstel 0,33l",2022-11-12,0.9162907318741551,0.9162907318741559,-7.771561172376096e-16
1,"amstel 0,33l",2022-11-25,0.9162907318741551,0.9162907318741558,-6.661338147750939e-16
1,calzoni classico,2022-10-07,2.379546134130174,2.3795461341301745,-4.440892098500626e-16
1,calzoni classico,2022-10-06,2.379546134130174,2.3795461341301767,-2.6645352591003757e-15
1,calzoni classico,2022-10-23,2.379546134130174,2.3795461341301776,-3.552713678800501e-15
1,calzoni classico,2022-10-27,2.379546134130174,2.3795461341301745,-4.440892098500626e-16
1,calzoni classico,2022-10-28,2.379546134130174,2.379546134130171,3.1086244689504383e-15
1,calzoni classico,2022-11-04,2.379546134130174,2.3795461341301722,1.7763568394002505e-15
1,calzoni diavola,2022-10-09,2.379546134130174,2.379546134130167,7.105427357601002e-15
1,calzoni diavola,2022-10-12,2.379546134130174,2.3795461341301647,9.325873406851315e-15
1,calzoni noci,2022-10-11,2.5572273113676265,2.5572273113676105,1.5987211554602254e-14
1,calzoni ortolano,2022-11-11,2.468099531471619,2.4680995314716396,-2.042810365310288e-14
1,coca cola,2022-10-15,0.6931471805599453,0.6931471805599434,1.887379141862766e-15
