variable,n,missing,mean,standard_deviation,minimum,p25,median,p75,maximum,zero_share
Views,33094,0,213.14948329002237,611.2966656526708,1.0,14.0,44.0,161.0,26611.0,0.0
Duration (hours),33094,0,4.895692069055821,30.112019389312675,0.0,0.0,0.0,0.0,2904.0,0.8032271710884148
Follow-up articles,33094,0,0.7084970085211821,6.428012021625309,0.0,0.0,0.0,0.0,377.0,0.8027436997643077
Word count,33094,0,383.1984347615882,256.6162581832095,6.0,225.0,331.0,466.0,4930.0,0.0
Electricity shortage,33094,0,24.813150731598355,25.982550615057885,0.079999998,9.9899998,12.62,22.129999,90.099998,0.0
"Rainfall, city 1",33094,0,4.56164260022995,13.546582115174846,0.0,0.0,0.0,1.5,112.6,0.6829334622590197
"Rainfall, city 2",33094,0,1.7727775355414879,6.9166244071518515,0.0,0.0,0.0,0.0,59.5,0.8026832658487943
